Код	Категория	Тип	Торговая марка	Цвет	Фото цвета	Размер	Цена	Штрих-код	Страна	Описание	Состав	Производитель	Артикул на сайте	Полное наименование	Фото (через ;)	Наименование на сайте	Распродажа
1030217Ут-лд	Утягивающее белье	Утяжки	Janira	Dune	http://darsitrade.ru/import/images/cjan_dune.jpg	L	1609.11	8422091532956	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Dune)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лн	Утягивающее белье	Утяжки	Janira	Negro	http://darsitrade.ru/import/images/cjan_negro.jpg	L	1609.11	8422091324612	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Negro)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лнл	Утягивающее белье	Утяжки	Janira	Nilo	http://darsitrade.ru/import/images/cjan_nilo.jpg	L	1609.11	8422091324643	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Nilo)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-хбл	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	XL	1609.11	8422091324599	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (XL Blanco)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-хс	Утягивающее белье	Утяжки	Janira	Cava	http://darsitrade.ru/import/images/cjan_cava.jpg	XL	1609.11	8422091342883	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (XL Cava)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-хд	Утягивающее белье	Утяжки	Janira	Dune	http://darsitrade.ru/import/images/cjan_dune.jpg	XL	1609.11	8422091532963	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (XL Dune)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-хнл	Утягивающее белье	Утяжки	Janira	Nilo	http://darsitrade.ru/import/images/cjan_nilo.jpg	XL	1609.11	8422091324650	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (XL Nilo)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030260То-мнг	Женское нижнее белье	Трусы	Janira	Negro	http://darsitrade.ru/import/images/c1-che.jpg	M	609.52	8392026002123	Испания	Трусики-слип.	POLIAMIDA 87%, ELASTANO  13%	Janira	1030260То	1030260 Трусы Nadina Janira Образец (M Negro)	http://darsitrade.ru/import/images/t_jan_1030260.jpg	1030260 Трусы Nadina Образец	
1030293То-унг	Женское нижнее белье	Трусы	Janira	Negro	http://darsitrade.ru/import/images/c1-che.jpg	U/OS	408.975	8392029302107	Испания	Трусики-слип.	POLIAMIDA 88%, ELASTANO  12%	Janira	1030293То	1030293 Трусы Nadina Janira Образец (U/OS  Negro)	http://darsitrade.ru/import/images/t_jan_1030293.jpg	1030293 Трусы Nadina Образец	
1030391Ут-сб	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	S	1099.53	8422091430740	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (..S Blanco)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
1030391Ут-сд	Утягивающее белье	Утяжки	Janira	Dune	http://darsitrade.ru/import/images/cjan_dune.jpg	S	1099.53	8422091532864	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (..S Dune)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
1030391Ут-снк	Утягивающее белье	Утяжки	Janira	Nacar	http://darsitrade.ru/import/images/cjan_nacar.jpg	S	1099.53	8422091430764	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (..S Nacar)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
1030391Ут-сн	Утягивающее белье	Утяжки	Janira	Negro	http://darsitrade.ru/import/images/cjan_negro.jpg	S	1099.53	8422091430757	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (..S Negro)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
1030391Ут-снл	Утягивающее белье	Утяжки	Janira	Nilo	http://darsitrade.ru/import/images/cjan_nilo.jpg	S	1099.53	8422091430771	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (..S Nilo)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
1030391Ут-мб	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	M	1099.53	8422091342517	Испания	Легчайшие трусы-утяжка средней посадки с "эффектом танга". Спереди классические трусики, а сзади выполнены в виде облегающей, приподнимающей ягодицы сеточки. Не сдавливают тело, остаются невидимыми даже под самым легким трикотажем.	POLIAMIDA 75%, ELASTANO  25%	Janira	1030391Ут	1030391 Утяжка Secrets Janira (.M Blanco)	http://darsitrade.ru/import/images/u_jan_1030391.jpg	1030391 Утяжка Secrets	
АнсххлЮ-ххб	Женское нижнее белье	Панталоны	Lolita	Белый	http://darsitrade.ru/import/images/c1-bel.jpg	XXL	557.775	8227005601151	Ю.Корея	Короткая нижняя юбка из тонкой вискозы с легким эффектом "плиссе" на передней детали. Благодаря плоским швам удобна для ежедневного ношения, а маленький коктеливый бантик придает изминку модели.		Lolita	АнсххлЮ	Юбка ANS CLUB XXL б/кружева (XXL Белый)	http://darsitrade.ru/import/images/lol_ubka.jpg;http://darsitrade.ru/import/images/lol_ubka_10.jpg	Юбка XXL	
АнсххлЮ-ххч	Женское нижнее белье	Панталоны	Lolita	Черный	http://darsitrade.ru/import/images/c1-che.jpg	XXL	557.775	8227005602158	Ю.Корея	Короткая нижняя юбка из тонкой вискозы с легким эффектом "плиссе" на передней детали. Благодаря плоским швам удобна для ежедневного ношения, а маленький коктеливый бантик придает изминку модели.		Lolita	АнсххлЮ	Юбка ANS CLUB XXL б/кружева (XXL Черный)	http://darsitrade.ru/import/images/lol_ubka.jpg;http://darsitrade.ru/import/images/lol_ubka_10.jpg	Юбка XXL	
